1. covid_intro ,2. covid_origin,3. symptoms_info,4. symtptoms_have,5. emergency_contact,6. precautions,7. current_numbers,8. medication,9. myths_hoaxes,10. how_spreading,,,,,,,,,
Are corona virus and COVID-19 different?,Are Bats really the original cause of the virus in China?,Am I infected,Can the Corona virus cause fever?,Are there any emergency numbers for the corona virus in my area?,"""Social distancing""  means maintaining a distance of how many feet between myself and other people?",a corona virus mutates 100 x faster than influenza,"Are fruits, vegetables and herbs useful in fighting the coronavirus?",Are Africans immune against covid-19,All outside contacts and physical proximity as can be avoided should be insured to keep avoided.,,,,,,,,,
are coronavirus and covid 19 the same,Can you explain how Covid19 started?,are coronavirus symptoms gradual,"Can the fever I have, cause body aches?",Are there any means of contact for Covid19 patients to reach the authorities?,Are masks effective against covid?,a map of the spread of the corona virus,Are there any existing medications I can take to help with the virus,Are children under a certain age immune to the virus,Are people around my dog at risk for corona virus?,,,,,,,,,
are coronaviruses common,Can you explain how the virus started?,are covid-19 antibody tests available yet,Can you tell me if having difficulties to breath is a symptom?,Are there any other ways besides email or phone to contact the authorities?,Are masks important during the Covid19 virus outbreak?,a star singapore corona virus test,Are there any medicinal teas to help against the current virus,are coronavirus victims getting younger,Ask around how covid-19 can be transmited.,,,,,,,,,
are coronaviruses seasonal,Can you explain how this virus came into existence?,are covid-19 stimulus checks taxable,Can you tell me if my coughing and sneezing are signs of corona virus?,Are there doctor numbers listed?,Are masks the only option for preventing Covid19?,Amount of people infected,Are there any Natural remedies that are effective with the virus,Are young people immune to COVID-19?,Can animals spread covid-19?,,,,,,,,,
can covid-19 mutate,Can you explain to me how the virus started?,Are COVID-19 symptoms similar to that of the flu?,Can you tell me if my difficulty to breathe is linked to corona virus?,Are these the only numbers available in case of an emergency?,Are there any way to stop corona virus,Are all the countries in the world infected with the corona virus?,Are there medicines that make the virus more aggresive?,Can a mosquito spread the Corona virus with its bite?,Can animals spread the covid-19 virus?,,,,,,,,,
Can I have information about corona virus?,Can you tell me how did coronavirus emerge?,are covid-19 tests free,do coronavirus patients die of pneumonia,Can i call my regular physician for corona virus symptoms?,Bandana masks.,are astmatics more at risk for corona virus,"As with all medicines, it treat one cause but damages something else later on.",Can exposure to sunshine kill the virus?,Can asymptomatic people spread the virus?,,,,,,,,,
Can you break down the general information for corona virus?,Can you tell me how te virus emerged?,Are the only symptoms of Covid19 coughing and fever?,Do I have corona virus?,Can i go to any hospital if i have shown symptons?,Can I avoid it?,are corona virus victims people with compromised immune systems,Can hydroxychloroquine help cure those affected,Can herbal medicine help to slow spread of Covid19?,Can children contract the virus?,,,,,,,,,
Can you give me information about Covid-19?,Can you tell me how this virus started and when?,Are the symptoms of corona virus like the flu,Do you know if dry cough is a symptom of corona virus?,can I post a mail in case of corona virus emergency,Can I leave the house every day?,are coronavirus cases declining,Can I take a painkiller for a headache?,Can i breathe in extra hot air to kill the virus?,Can children spread the virus?,,,,,,,,,
Can you tell me about Covid-19?,Can you tell me how this virus started?,Are the symptoms the same for all the patients?,Do you know if fevers are symptoms of Covid-19?,Can I send a letter to the local authorities? What is the address?,Can the virus spread be stopped?,are coronavirus cases declining in china,Can I take any medications?,Can i get a tuberculosis shot to be immune to the virus?,can corona virus be spread by bats,,,,,,,,,
Can you tell me about the corona virus?,Can you tell me the origin of covid?,Arthritis and covid19.,Do you think I have the Corona virus because I have a cough?,Can I send an email detailing my symptoms?,Can we stop the spread of Covid19 and how?,are coronavirus cases decreasing,Can I take aspirin if I have corona virus,Can my dog get coronavirus?,can coronavirus be spread by mail,,,,,,,,,
Can you tell me more about COVID-19?,Can you tell me where the Corona virus started?,can coronavirus cause a rash,Does anyone who has a fever mean that they have the virus?,Can you confirm the numbers and email for our authorities should I need them?,Can wearing a mask help prevent the spread of the corona virus?,are coronavirus cases decreasing in china,Can I take this medicine?,Can my pet get corona virus,can coronavirus be transmitted through food,,,,,,,,,
Can you tell me more this new virus Covid19?,Coronavirus in wuhan,can coronavirus cause diarrhea,have coronavirus without symptoms,Can you give me the number for the local health authorities?,Can you prevent getting corona virus?,are coronavirus cases dropping,Can I use antibiotics to help fight the virus,Can my pet get coronavirus?,can coronavirus live in water,,,,,,,,,
Can you tell me what corona virus is,Coronavirus origins and SARS and MERS,Can you enumerate covid's symptoms?,Having a difficulty to breathe could mean one is infected,Can you give me the phone number?,Can you prevent getting COVID-19?,are coronavirus cases dropping in china,Can I use Ibuprofen for corona virus?,Can the transmission be done by mosquitos?,can coronavirus live on cardboard,,,,,,,,,
